interview__key;date_q;hh_02;settlement;members;memnal;weight;fdpurch;fdcons;fdout;Z1;nfdpurch;nonfdgif;durble;expend;monincome;totincome;nonmoninc;y1_3amd.1.00;y1_3amd.2.00;y1_3amd.3.00;y1_3amd.4.00;y1_3amd.6.00;y1_3amd.8.00;y1_3amd.9.00;y1_3amd.10.00;y1_3amd.13.00;y1_3amd.14.00;y1_3amd.15.00;y1_3amd.17.00;y1_3amd.18.00;y1_3amd.19.00;y1_3amd.23.00;y1_3amd.28.00;hhch_0_3_sum;hhch_4_5_sum;hhch_6_11_sum;hhch_12_17_sum;hheld_63_65_sum;hheld_66_70_sum;hheld_71_80_sum;hheld_over81_sum;hheld_over63_sum;headsex;headeduc;headmerstatus;headage;aec_r;poverty;pweight;ae_r;hous_01;hous_13;hous_16;hous_29_1n;hous_29_2n;hous_29_3n;hous_29_4n;hous_29_5n;hous_29_6n;hous_39;hous_44;soc_01;soc_05;hous_47_8
01-03-82-77;2019,04;4;1;3;3;109,824074;24202,97619;0;0;14713,82971;6083,333333;10800;0;41086,30952;256000;266800;10800;220000;;;36000;;;;;;;;;;;;;;;;;;;1;;1;2;3;3;72;28119,14063;2;329,472229;2,600731;2;1;1;0;0;0;0;0;0;2;3;2;;
01-06-19-21;2019,03;2;2;1;1;128,05314;25897,61905;1520,833333;5648,809524;1358,973214;6496,130952;6027,777832;0;45591,17069;115500;123048,6112;7548,611165;;;17500;38000;;;;;;;;;;60000;;;;;;;;;;1;1;1;1;3;82;59288,32422;1;128,053146;1;1;1;1;0;0;0;0;0;1;4;3;2;;
01-08-45-71;2019,02;7;1;2;2;199,569444;94878,27381;0;0;7517,413488;56553,27381;46983,33337;0;198414,881;320000;366983,3334;46983,33337;320000;;;;;;;;;;;;;;;;;;1;;;;;;;1;6;3;47;127804,4141;1;399,138885;1,546005;2;1;1;0;1;0;0;0;0;1;3;2;;2
01-08-63-68;2019,04;11;1;7;7;150,777778;61224,40476;2802,678571;0;2480,386048;119059,5238;55516,6665;0;238603,2736;165000;223319,3451;58319,34508;125000;;;40000;;;;;;;;;;;;;;;3;;;;1;;1;1;6;1;50;38182,30469;2;1055,444458;4,718781;2;1;1;0;0;0;0;0;0;1;3;2;;1
01-11-23-75;2019,06;6;1;2;2;156,330247;22964,58333;5721,261142;0;1653,518275;4997,02381;25622,22266;0;59305,09094;79000;110343,4838;31343,4838;;;;79000;;;;;;;;;;;;;;;;;;;1;1;2;1;3;1;87;48339,25;1;312,660492;1,827663;1;1;1;0;0;0;0;0;1;2;3;2;;1
01-11-83-76;2019,1;1;1;4;4;317,287037;100787,7976;0;22377,97619;7696,316935;64240,47619;81166,66797;0;268572,918;316666,6667;397833,3346;81166,66797;;300000;;;;;;;;;16666,66667;;;;;;;;;1;;;;;;1;6;1;54;79341,40625;1;1269,148193;3,340352;1;1;1;0;0;1;0;0;0;2;3;2;;1
01-12-25-77;2019,06;1;1;2;2;294,296296;49427,08333;3052,529871;0;4166,339825;7930,059524;19508,33301;0;79918,00574;181700;204260,8629;22560,86288;;44000;;57000;;;;;;;;;;80700;;;;;;;;;1;;1;2;2;3;77;50768,42188;1;588,59259;1,827663;2;1;1;;;1;;;;1;4;2;;1
01-22-76-75;2019,09;1;1;5;5;92,657407;56183,92857;0;2281,25;4650,720879;75563,69048;80583,33594;0;214612,205;210000;290583,3359;80583,33594;210000;;;;;;;;;;;;;;;;1;;;;;;;;;1;6;1;54;64942,38672;1;463,287048;3,807887;1;1;1;0;0;1;0;0;0;1;3;2;;1
01-22-79-40;2019,11;11;2;6;6;99,796296;68068,15476;11638,3063;15208,33333;2865,249998;124349,7024;36108,33301;0;255372,8298;424666,6667;472413,306;47746,63931;254000;120000;6666,666667;44000;;;;;;;;;;;;;;;;;;;1;;1;1;5;1;52;55622,46094;1;598,777771;4,75326;1;1;1;0;0;0;0;0;1;2;2;2;;1
01-23-40-09;2019,1;11;2;1;1;99,796296;59095,2381;10138,90612;0;2126,83886;38700;11448,61133;20833,33333;140216,0889;52000;73587,51745;21587,51745;;;;25000;18000;;;;;;;;9000;;;;;;;;;;;;;1;2;2;59;130197,1875;1;99,796295;1;1;1;1;0;0;0;0;0;1;2;4;1;4;
01-23-62-41;2019,04;3;1;3;3;91,064815;44125,89286;0;0;3643,771825;14143,75;33466,66663;0;91736,30948;252150;285616,6666;33466,66663;205000;;;;;;;;;;;;10000;37150;;;;;1;;;;;;;2;2;4;29;36962,64063;2;273,194458;2,334661;1;1;1;0;0;0;0;0;0;2;5;2;;
01-23-80-57;2019,11;4;1;3;3;109,824074;74129,76191;33052,473;0;1025,133145;111826,7857;27444,44434;0;246453,465;183333,3333;243830,2507;60496,91733;83333,33333;;;;;;;;;;;;100000;;;;;;1;;;;;;;1;3;1;33;91864,625;1;329,472229;2,334661;2;1;1;0;0;1;0;0;0;1;3;2;;1
01-26-45-77;2019,09;10;2;4;3;40,74537;9190,178571;33741,29543;0;1841,777442;17339,28571;82833,32813;0;143104,0878;59041,66667;175616,2902;116574,6236;;;19041,66667;40000;;;;;;;;;;;;;;;;;;;;;;1;3;1;61;70261,125;1;122,236115;2,601145;1;1;2;0;0;0;0;0;1;1;4;2;;2
01-29-98-64;2019,05;1;1;2;2;24,027778;26701,4881;0;0;1510,3816;0;42668,05469;0;69369,54278;0;42668,05469;42668,05469;;;;;;;;;;;;;;;;;;;;;;;;;;1;5;1;61;48290,52344;1;48,055557;1,827663;1;1;1;0;1;0;0;0;0;1;3;2;;2
01-31-16-84;2019,08;6;1;4;3;156,330247;26136,60714;5551,041667;0;1616,605933;3041,666667;13800;0;48529,31548;227300;246651,0417;19351,04167;110000;;;35000;;;;;;;;;8000;74300;;;;;;;;;;1;1;1;2;3;82;31296,90234;2;468,990753;2,601145;2;1;1;0;1;1;0;0;0;1;3;2;;
01-33-12-37;2019,04;5;2;3;3;156,842593;9950,595238;30579,22507;0;4499,494048;9668,154762;22100;0;72297,97507;17083,33333;69762,5584;52679,22507;;;17083,33333;;;;;;;;;;;;;;;;;1;;;;;;1;5;1;61;62707,32031;1;470,527771;2,600731;1;1;1;0;0;1;0;0;0;2;3;2;;
01-33-49-45;2019,05;3;1;1;1;91,064815;37716,66667;0;0;1848,780303;14765,90909;10300;0;62782,57576;90000;100300;10300;90000;;;;;;;;;;;;;;;;;;;;;;;;;2;3;4;49;102388,125;1;91,064812;0,810843;2;1;1;0;1;0;0;0;0;1;2;2;;
01-33-82-94;2019,03;3;2;1;1;222,138889;20140,17857;0;0;942,810166;3172,02381;56220,83301;0;79533,03539;155450;211670,833;56220,83301;;;;44000;;;;;;;;;;111450;;;;;;;;;;1;1;2;6;3;86;97849,8125;1;222,138885;1;1;1;2;0;0;1;0;0;0;2;4;2;;1
